iter	Logloss
0	0.6890530755
1	0.6852310107
2	0.6815773266
3	0.6780350462
4	0.6746985801
5	0.671499049
6	0.668342543
7	0.6653789584
8	0.6625153723
9	0.6597236049
10	0.6571584976
11	0.6546754067
12	0.652307438
13	0.6500351593
14	0.6478918769
15	0.6457052769
16	0.6436707594
17	0.6416022438
18	0.6396989423
19	0.6377804194
20	0.6360948355
21	0.6344193714
22	0.6328496208
23	0.6313251564
24	0.629792353
25	0.6283584469
26	0.6270431085
27	0.6256344972
28	0.624338407
29	0.6232004509
30	0.6220831459
31	0.6209790418
32	0.6199072555
33	0.6189061774
34	0.6178547783
35	0.6169368821
36	0.6159758432
37	0.6151129324
38	0.6142705021
39	0.6135045927
40	0.6127767086
41	0.6119983413
42	0.6112213101
43	0.6104807328
44	0.6097216941
45	0.6090509729
46	0.6084434671
47	0.6077664088
48	0.6070928733
49	0.6066101097
50	0.6059390506
51	0.6053911773
52	0.6048840481
53	0.6044751889
54	0.6040580736
55	0.6036438795
56	0.6030805316
57	0.6027439582
58	0.6023434265
59	0.6019663936
60	0.6016008916
61	0.6012732717
62	0.6009483295
63	0.6005474084
64	0.6000404508
65	0.5997095685
66	0.5993926351
67	0.5990285323
68	0.5986903304
69	0.5984195076
70	0.5980590465
71	0.5978061403
72	0.597434769
73	0.5971073931
74	0.5968666523
75	0.5966723406
76	0.5962870436
77	0.5959949553
78	0.5957151231
79	0.5954873383
80	0.5953296059
81	0.5950712334
82	0.5948807284
83	0.5946852456
84	0.5944320438
85	0.5943160998
86	0.5941604649
87	0.5939075842
88	0.5936084507
89	0.5933705256
90	0.5932100539
91	0.5930348426
92	0.5928163349
93	0.5926012969
94	0.5924122528
95	0.5921527578
96	0.5919947754
97	0.5917899576
98	0.5916527559
99	0.591453491
100	0.5913211786
101	0.5911183989
102	0.5908943671
103	0.5906920954
104	0.5905017432
105	0.5903149971
106	0.5901640832
107	0.5900006905
108	0.5898211649
109	0.5896950546
110	0.5895591518
111	0.5893878858
112	0.5892234524
113	0.5890714147
114	0.5889588481
115	0.5888754161
116	0.5887568174
117	0.5884652915
118	0.5883398217
119	0.5882109496
120	0.5880537538
121	0.5879046775
122	0.5877434902
123	0.5875824729
124	0.5873697258
125	0.5872144128
126	0.5870919357
127	0.5869230894
128	0.5868001745
129	0.5867004883
130	0.5865588843
131	0.586402715
132	0.586233951
133	0.5860013101
